,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label,gender
1239,anetv_0PmrImNqA2w,14155,We see the lady talking. We then,We see the lady talking.,We then,gold,see the before and after image of the fence.,see a badminton game and other men in a training game.,see a lady knit.,see the lady cut the dog with a comb and around.,0,2
1240,anetv_0PmrImNqA2w,14154,We see the lady using an power sprayer to paint the fence white. We,We see the lady using an power sprayer to paint the fence white.,We,gold,see the lady racing towards the mesh sky.,see a pile of jewelry inside it.,see the horse getting dried.,see the lady talking.,3,2
1241,anetv_0PmrImNqA2w,13066,A camera pans around a house and shows a woman speaking to the camera. The woman,A camera pans around a house and shows a woman speaking to the camera.,The woman,gen,breaks leaves and a pumpkin with a pile of dirt but ends with the older man putting it together.,is seen all around herself speaking to the camera.,continues to paint inside her room.,is shown speaking to a camera and speaking to the camera and showing a close up of her sandwich.,2,1
1242,anetv_0PmrImNqA2w,14156,We then see the before and after image of the fence. The ending screen,We then see the before and after image of the fence.,The ending screen,gold,shows a little boy going down a uneven path.,appears and changes to colorful product in several detail used to using.,is shown and a man with a black beard is behind a mirror above a cutting table.,has the four images again.,3,2
1243,anetv_0PmrImNqA2w,14152,We we a blue house with a wood fence. We,We we a blue house with a wood fence.,We,gold,see a lady standing in front of the house talking.,see a man holding a brick.,see the ending title screen.,"camera man tries ski in the skies, then the boy uses the pole on the bridge and is hurled off into the distance.",0,2
1244,anetv_0PmrImNqA2w,13067,The woman is then shown spraying paint all along a fence. The woman,The woman is then shown spraying paint all along a fence.,The woman,gold,continues paints the garage all stopping.,continues painting and smiling to the camera.,shows off the finished product and lay it down on the table several times.,continues making pans around the area while talking.,1,1
1245,anetv_0PmrImNqA2w,14153,We see a lady standing in front of the house talking. We,We see a lady standing in front of the house talking.,We,gold,see the ending screen with a website while we see it.,see a lady with pink hair and walking a home.,see a red opening screen.,see the lady using an power sprayer to paint the fence white.,3,2
1246,anetv_0PmrImNqA2w,14153,We see a lady standing in front of the house talking. We,We see a lady standing in front of the house talking.,We,gen,see a lady with pink hair and walking a home.,see a man walking a ramp.,see the ending screen with a website while we see it.,see a red opening screen.,1,2
1247,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1442,Someone climbs onto the broomstick and steers it upwards. Someone,Someone climbs onto the broomstick and steers it upwards.,Someone,gold,sits on the cargo ship's poles.,keeps the photo in his extended hands.,suddenly spots the key with a broken wing.,"gazes at someone, who takes the bird and addresses them.",2,2
1248,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1440,"Someone nods, puts out his hand, and takes hold of the broomstick. At once, the hundreds of metal keys","Someone nods, puts out his hand, and takes hold of the broomstick.","At once, the hundreds of metal keys",gold,swarm dangerously around his head.,align only the base of the glowing flame.,cascade off the veranda of the building.,drop from someone's grasp as he steps towards someone's door.,0,2
1249,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1444,It zooms upwards out of his reach. He,It zooms upwards out of his reach.,He,gold,comes out of the shadows and gets swimming with his hands wrapped around his stomach.,sweeps past small buildings and makes their way along the base.,points the broom after the key as it flies towards a high window.,stares as he spies blood on the window.,2,0
1250,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1439,Someone looks at the broomstick. Someone,Someone looks at the broomstick.,Someone,gold,thinks about it as someone.,"nods, puts out his hand, and takes hold of the broomstick.",kills the zombies as it dangles across the floor.,covers his unlaced boots.,1,2
1251,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1446,He throws it to someone who quickly puts it into the lock. The flying keys,He throws it to someone who quickly puts it into the lock.,The flying keys,gen,spots the others on the landing.,are thrown against the wall as fast as he can.,counts as someone approaches a door.,turn off the stairs.,1,2
1252,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1440,"Someone nods, puts out his hand, and takes hold of the broomstick. At once, the hundreds of metal keys","Someone nods, puts out his hand, and takes hold of the broomstick.","At once, the hundreds of metal keys",gen,align only the base of the glowing flame.,drop from someone's grasp as he steps towards someone's door.,cascade off the veranda of the building.,fall from the surrounding shelves.,3,2
1253,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1443,Someone suddenly spots the key with a broken wing. It,Someone suddenly spots the key with a broken wing.,It,gold,'s like it has saved pieces of him.,wears crucified grate with his cloak.,zooms upwards out of his reach.,thrusts a metal dagger into someone's face.,2,2
1254,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1451,Torches flare up showing a floor of huge black and white squares. Great stone chess pieces,Torches flare up showing a floor of huge black and white squares.,Great stone chess pieces,gold,burn in the midst of gunpoint.,are spread out in front of him.,are set one to the ocean.,face each other across the enormous marble chessboard.,3,2
1255,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1449,People come into the gloomy room and walk slowly between the piles of shattered figures. Someone,People come into the gloomy room and walk slowly between the piles of shattered figures.,Someone,gen,writhes through some bracing.,faces a huge cobra.,is quickly scanning the room.,faces a brick wall on which one opens around as someone follows close.,2,2
1256,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1435,They go through a door into a room with solid stone pillars. Small winged objects,They go through a door into a room with solid stone pillars.,Small winged objects,gold,flit above their heads.,close up with the survival wand.,cowering towards the tunnels landing.,sidesteps from the ceiling.,0,2
1257,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1452,Great stone chess pieces face each other across the enormous marble chessboard. Fierce warriors,Great stone chess pieces face each other across the enormous marble chessboard.,Fierce warriors,gold,losing their aimed son gives people.,bar their way with drawn swords.,blast the engines at their own phoenix.,hammers a discolored square in a city armor.,1,2
1258,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1448,Huge broken stone statues lie about the floor. People,Huge broken stone statues lie about the floor.,People,gold,set down near the door in someone's study.,austere themselves from the centre of the rubbish.,sit down on the kitchen counter.,come into the gloomy room and walk slowly between the piles of shattered figures.,3,2
1259,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1445,It turns back and someone grabs it. He,It turns back and someone grabs it.,He,gold,glances back at someone.,grips the block from between her thumb and finger.,throws it to someone who quickly puts it into the lock.,takes it out and just about to move.,2,0
1260,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1436,Small winged objects flit above their heads. A shabby broomstick,Small winged objects flit above their heads.,A shabby broomstick,gold,is thrown off his window's deck.,produces their sparkling saw.,is hanging in the air.,carries their paddles to the wire floor.,2,2
1261,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1449,People come into the gloomy room and walk slowly between the piles of shattered figures. Someone,People come into the gloomy room and walk slowly between the piles of shattered figures.,Someone,gold,faces a huge cobra.,looks around the room.,faces a brick wall on which one opens around as someone follows close.,writhes through some bracing.,1,2
1262,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1450,Someone looks around the room. Torches,Someone looks around the room.,Torches,gold,are out of their way.,pull into a station.,appear on the shelves behind.,flare up showing a floor of huge black and white squares.,3,2
1263,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1438,Someone tries the locked door. Someone,Someone tries the locked door.,Someone,gen,continues to pick himself up.,struggles to get out of bed.,shuffles over to the backseat.,turns and runs out.,1,2
1264,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1437,A shabby broomstick is hanging in the air. Someone,A shabby broomstick is hanging in the air.,Someone,gen,throws his wand as someone moves his cursor across the keys of keys.,scrambles over the stairs and leaves someone.,is dragging someone away like clearly germans shell huddled over two cars.,stands at the top of the back of someone's head.,1,2
1265,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1437,A shabby broomstick is hanging in the air. Someone,A shabby broomstick is hanging in the air.,Someone,gold,is dragging someone away like clearly germans shell huddled over two cars.,throws his wand as someone moves his cursor across the keys of keys.,stands at the top of the back of someone's head.,tries the locked door.,3,2
1266,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1447,"The door closes after him, and unable to stop, the keys herd into it. Huge broken stone statues","The door closes after him, and unable to stop, the keys herd into it.",Huge broken stone statues,gold,lie on an maize field.,"are about to emerge, which painted walls.",lie about the floor.,are drawn around the arena empty gleaming guns.,2,2
1267,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1438,Someone tries the locked door. Someone,Someone tries the locked door.,Someone,gen,continues to pick himself up.,opens his cell's door and strikes a number.,stomps close and slaps him.,turns and runs out.,3,2
1268,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1441,"At once, the hundreds of metal keys swarm dangerously around his head. Someone","At once, the hundreds of metal keys swarm dangerously around his head.",Someone,gen,"enters, stands, and looks back.","stares again, the coffee touching up his cheeks.","drops onto his stomach on his cross - between, sending people back to the ground.",one of someone's agents hard to drop through third land square above the construction site.,0,2
1269,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1438,Someone tries the locked door. Someone,Someone tries the locked door.,Someone,gold,stomps close and slaps him.,looks at the broomstick.,continues to pick himself up.,opens his cell's door and strikes a number.,1,2
1270,lsmdc1053_Harry_Potter_and_the_philosophers_stone-96171,1446,He throws it to someone who quickly puts it into the lock. The flying keys,He throws it to someone who quickly puts it into the lock.,The flying keys,gold,fly out of movies and 22.,go mad and chase after someone like a swarm of bees.,counts as someone approaches a door.,spots the others on the landing.,1,2
1271,lsmdc0021_Rear_Window-59075,14369,"He hangs up, and just as he does, someone looks toward someone's apartment. He","He hangs up, and just as he does, someone looks toward someone's apartment.",He,gold,brings her to the comfortable position and looks up back at the crowd.,seems a little puzzled by what he sees.,turns as he approaches.,scratches the back of her head.,1,0
1272,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14766,Someone runs to someone's bedside. He,Someone runs to someone's bedside.,He,gen,raises his arms looking by a window.,sits in his paradise shims.,holds his hand up.,reaches out to blank the locket.,2,0
1273,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14764,Someone lurches to his feet and Throws himself off the Tower! Someone,Someone lurches to his feet and Throws himself off the Tower!,Someone,gen,leaps at someone who's taunted by someone's partner.,aims his arms at the retreating someone.,swigs from the bottle and tosses it to someone.,soars into the air.,3,2
1274,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14762,"Someone stands over someone, gloating. With the power of his staff, someone","Someone stands over someone, gloating.","With the power of his staff, someone",gen,looks on uneasily as they enter.,runs down a hall and turns into a corridor.,steps into the water holding an umbrella over the table.,"sits along the floor, his back to someone.",0,0
1275,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14765,Someone raises himself up and looks at someone. Someone,Someone raises himself up and looks at someone.,Someone,gold,runs to someone's bedside.,sits at his table with the blood in his head.,"pauses, then steps back to his audience.",is horrified hanging behind the altar.,0,2
1276,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14767,"He is overjoyed to find someone awake bedside. His face is neither old nor young, though in it",He is overjoyed to find someone awake bedside.,"His face is neither old nor young, though in it",gold,must have a shot these quarter quarter age.,they are unfamiliar.,is written the memory of many things both glad and sorrowful.,and stockings has removed his tears.,2,0
1277,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14760,"Someone gathers the small Hobbit in her arms, feeling his life slip away. A bright light suddenly flares. someone","Someone gathers the small Hobbit in her arms, feeling his life slip away.",A bright light suddenly flares. someone,gen,is used to wrest and prepares to iron at hooves.,smiles mischievously at his wife.,sadly purses her lips.,"gyrates her brow, then beams at someone, who shrinks back.",2,2
1278,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14763,"With the power of his staff, someone raises someone from the ground, then sends him crashing to the floor. someone","With the power of his staff, someone raises someone from the ground, then sends him crashing to the floor.",someone,gold,sways his face filled with fear as he staggers to the door.,struggles with some screws.,rushes down to the bathroom.,lurches to his feet and throws himself off the tower!,3,2
1279,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14766,Someone runs to someone's bedside. He,Someone runs to someone's bedside.,He,gold,sits in his paradise shims.,raises his arms looking by a window.,is overjoyed to find someone awake bedside.,reaches out to blank the locket.,2,0
1280,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14762,"Someone stands over someone, gloating. With the power of his staff, someone","Someone stands over someone, gloating.","With the power of his staff, someone",gold,pushes someone against a table and walks along the street.,"sits along the floor, his back to someone.",bashes his hands against his chest.,"raises someone from the ground, then sends him crashing to the floor.",3,0
1281,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14761,"A bright light suddenly flares. someone squeezes his eyes shut, gasping. He","A bright light suddenly flares. someone squeezes his eyes shut, gasping.",He,gen,looks over his shoulder to meet someone's eyes.,leaps across the chasm.,"hurries off, leaving a woman at a window.",sits back and eats.,2,0
1282,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60142,14760,"Someone gathers the small Hobbit in her arms, feeling his life slip away. A bright light suddenly flares. someone","Someone gathers the small Hobbit in her arms, feeling his life slip away.",A bright light suddenly flares. someone,gold,"squeezes his eyes shut, gasping.","gyrates her brow, then beams at someone, who shrinks back.",smiles sadly and gets back into their seats.,smiles mischievously at his wife.,0,2
1283,anetv_Zl6o69-R2DE,2102,Man is talking to the camera is a snowy day outside a house. man,Man is talking to the camera is a snowy day outside a house.,man,gold,is looking down at a table in their arms.,is holding a shovel and cleaning the path from the snow.,is talking in a workshop showing how to clean a car.,is standing next to the barn with a man smoking.,1,0
1284,anetv_Zl6o69-R2DE,2103,Little kid is wearing red snow clothes and is standing nxt to a car. the man,Little kid is wearing red snow clothes and is standing nxt to a car.,the man,gold,is out next door in a driveway in the camera.,"is running in a group of parked cars while talking, and people are walking on to the street between them.",stops and is again talking to the camera with the shovel on his hands.,is holding a big shovel behind him and puts the omelette over the wall before mixing the weight with a shovel.,2,0
1285,lsmdc0005_Chinatown-48244,13571,This subdues someone a little. Someone,This subdues someone a little.,Someone,gold,sobbing with anger; they bend down.,is still a little heated.,takes him into his uniform.,has another torch by this size.,1,2
1286,lsmdc0005_Chinatown-48244,13572,Someone is still a little heated. Someone for the first time,Someone is still a little heated.,Someone for the first time,gold,has skillfully control his pleading eyes.,appears a little embarrassed.,we see the envelope for someone is front in frame.,is already digging out to dump out a scream at every heartbeat.,1,2
1287,lsmdc0005_Chinatown-48244,13570,Someone is clearly angry but she is controlling it. This,Someone is clearly angry but she is controlling it.,This,gold,sparks compact alcoholic straw.,appear like she'd hit him.,are carving someone in the hands with a fitness blow in her hand.,subdues someone a little.,3,2
1288,anetv_MdOAr_4FJvc,4610,The man begins to play the piano. the man,The man begins to play the piano.,the man,gold,walks away from someone and the woman.,plays the guitar while playing the violin.,continues to play the piano until the end.,starts playing the harmonica.,2,0
1289,anetv_MdOAr_4FJvc,4609,A man is sitting at a piano. the man,A man is sitting at a piano.,the man,gold,begins to play the piano.,walks up the camera.,behind he bit playing a harmonica.,sits trough the piano.,0,0
1290,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-60491,17413,His hand trails down to the chain around his neck. someone,His hand trails down to the chain around his neck.,someone,gen,abruptly retreats and sees someone laying on her stomach and dissolving numbers into someone's wrist.,brings it to her lips and kisses her own forehead.,tilts his head and speaks.,strokes its forehead and breathes.,2,2
1291,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-60491,17414,Someone quickly hides the ring as someone peers at them with gleaming eyes. Someone,Someone quickly hides the ring as someone peers at them with gleaming eyes.,Someone,gen,points from another window.,eyes him and smile slightly.,shuts his eyes and reloads.,watches with glistening eyes.,3,2
1292,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-60491,17412,The dark morgul valley disappears up towards the mountains. Someone,The dark morgul valley disappears up towards the mountains.,Someone,gold,plunges a web into the man's shield.,twitches in a restless sleep.,picks out a goat connected intertube.,stands on the top tread.,1,2
1293,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-60491,17414,Someone quickly hides the ring as someone peers at them with gleaming eyes. Someone,Someone quickly hides the ring as someone peers at them with gleaming eyes.,Someone,gen,shuts his eyes and reloads.,points from another window.,smiles and faces his teammates.,hands someone a pen.,1,2
1294,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-60491,17413,His hand trails down to the chain around his neck. someone,His hand trails down to the chain around his neck.,someone,gen,"gives a solemn silhouette briefly, as rockets zoom up to each rookie.",strokes its forehead and breathes.,abruptly retreats and sees someone laying on her stomach and dissolving numbers into someone's wrist.,steps out onto the pavement.,3,2
1295,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-60491,17413,His hand trails down to the chain around his neck. someone,His hand trails down to the chain around his neck.,someone,gold,quickly hides the ring as someone peers at them with gleaming eyes.,abruptly retreats and sees someone laying on her stomach and dissolving numbers into someone's wrist.,"gives a solemn silhouette briefly, as rockets zoom up to each rookie.",strokes its forehead and breathes.,0,2
1296,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,346,"The children stand deflated, watching someone disappear up the lane. At that moment: spinning balls of bright color suddenly leap out of the cart,","The children stand deflated, watching someone disappear up the lane.","At that moment: spinning balls of bright color suddenly leap out of the cart,",gold,jolting their bodies towering over in joy of the crowd.,featuring someone clutching backside to someone's chest wallet.,hiding on a middle speed.,fizzing over the heads of the delighted children.,3,2
1297,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,350,Someone drops to his knee to embrace his old friend. Someone,Someone drops to his knee to embrace his old friend.,Someone,gen,gets on his feet and strides toward someone.,"sits up, shifting his unimpressed gaze.",smiles and his mouth breaks into a grin.,is blurred as he goes too fast.,2,2
1298,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,347,"At that moment: spinning balls of bright color suddenly leap out of the cart, fizzing over the heads of the delighted children. Someone","At that moment: spinning balls of bright color suddenly leap out of the cart, fizzing over the heads of the delighted children.",Someone,gold,stands up and follows someone.,runs over to him.,is unable to suppress a chuckle.,runs to the pinata and pushes a hand through the door onto the length angled toward someone.,2,2
1299,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,348,Someone is unable to suppress a chuckle. Someone,Someone is unable to suppress a chuckle.,Someone,gen,stands up on the podium and stares at the plane they've just met.,shoots up and tears it down.,blows his books out and hurries away in the wind.,"fidgets, then fills the driver's window and looks down.",3,2
1300,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,351,Someone leads someone into Bag End. cozy and cluttered with souvenirs of someone's travels. Someone,Someone leads someone into Bag End. cozy and cluttered with souvenirs of someone's travels.,Someone,gold,has to stoop to avoid hitting his head on the low ceiling.,scrambles up beside a puddle of asphalt.,passes through the door.,"flies over the arch of a church, which is packed with chains.",0,2
1301,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,345,"As the cart rattles into the small village of Hobbiton. a quaint rustic settlement, nestled amongst rolling green hills and large trees. The children","As the cart rattles into the small village of Hobbiton. a quaint rustic settlement, nestled amongst rolling green hills and large trees.",The children,gen,arrive at the house.,"walk off, moving around the cluttered room several feet to one another.",run ahead as the narrator tends to someone.,look out from many different landscapes as they rove at their dirt - blanketed surroundings.,0,2
1302,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,352,Someone has to stoop to avoid hitting his head on the low ceiling. Someone,Someone has to stoop to avoid hitting his head on the low ceiling.,Someone,gold,"in his place and pointedly into a long steep recovery area piled with snow by the cabin, they suddenly appear somewhat tenderly.",hangs up someone's hat on a peg and trots off down the hall.,manages to move away and tries to lift his head off someone.,"shoots another burst toward a trophy, which explodes at the boy.",1,2
1303,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,349,"Wearing a dashing brocade waist coat, he looks every inch the eccentric gentleman. Someone","Wearing a dashing brocade waist coat, he looks every inch the eccentric gentleman.",Someone,gold,throws down his flaming revolver and pushes someone outside.,drops to his knee to embrace his old friend.,is his sharp fond eyes and eyes someone.,trims the green parks.,1,2
1304,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,350,Someone drops to his knee to embrace his old friend. Someone,Someone drops to his knee to embrace his old friend.,Someone,gold,"sits up, shifting his unimpressed gaze.",is blurred as he goes too fast.,gets after the side.,looks at him more keenly.,3,2
1305,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,353,"Someone stops in front of a framed map, charred in one corner. it is someone's map of the Lonely Mountain, someone smiles to himself. Someone","Someone stops in front of a framed map, charred in one corner. it is someone's map of the Lonely Mountain, someone smiles to himself.",Someone,gold,appears on his head.,"watches, amused as someone tries to hide.",drops from his knees and looks down.,has a pistol on her lap.,1,2
1306,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,350,Someone drops to his knee to embrace his old friend. Someone,Someone drops to his knee to embrace his old friend.,Someone,gen,is blurred as he goes too fast.,"sits up, shifting his unimpressed gaze.",gets after the side.,gets on his feet and strides toward someone.,3,2
1307,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,345,"As the cart rattles into the small village of Hobbiton. a quaint rustic settlement, nestled amongst rolling green hills and large trees. The children","As the cart rattles into the small village of Hobbiton. a quaint rustic settlement, nestled amongst rolling green hills and large trees.",The children,gen,run the sand float among the growing trees.,sniff around the tree.,"walk off, moving around the cluttered room several feet to one another.",look out from many different landscapes as they rove at their dirt - blanketed surroundings.,3,2
1308,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,348,Someone is unable to suppress a chuckle. Someone,Someone is unable to suppress a chuckle.,Someone,gold,stands up in the cart as someone reigns in the horse.,shoots up and tears it down.,stands up on the podium and stares at the plane they've just met.,makes a picture with someone and looks out.,0,2
1309,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,353,"Someone stops in front of a framed map, charred in one corner. it is someone's map of the Lonely Mountain, someone smiles to himself. Someone","Someone stops in front of a framed map, charred in one corner. it is someone's map of the Lonely Mountain, someone smiles to himself.",Someone,gen,has a pistol on her lap.,appears on his head.,drops from his knees and looks down.,holds it out to someone.,3,2
1310,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-59833,349,"Wearing a dashing brocade waist coat, he looks every inch the eccentric gentleman. Someone","Wearing a dashing brocade waist coat, he looks every inch the eccentric gentleman.",Someone,gen,is his sharp fond eyes and eyes someone.,throws down his flaming revolver and pushes someone outside.,trims the green parks.,studies the clerk critically.,3,2
1311,anetv_iIhEO_NA8gk,18599,She is sitting down playing on her iPad and then begins to board an airplane. The plane lands and she,She is sitting down playing on her iPad and then begins to board an airplane.,The plane lands and she,gold,is in a cabin and begins skiing at a resort.,is going to jump onto the sweating sand while she celebrates alone.,jumps straight in the air that matter.,moves down the wall.,0,1
1312,anetv_iIhEO_NA8gk,18600,"The plane lands and she is in a cabin and begins skiing at a resort. As she is skating, she changes her skis and the screen is covered with a grey static like film and the person",The plane lands and she is in a cabin and begins skiing at a resort.,"As she is skating, she changes her skis and the screen is covered with a grey static like film and the person",gold,flips the last switch on quickly.,begins with her in the middle.,continues with her snow activities.,inspects her resigned power your cut to a women only a motorcross buffer against the wall.,2,1
1313,anetv_iIhEO_NA8gk,18598,A young girl is outside running down the road between a forest and then ends up in the airport. She,A young girl is outside running down the road between a forest and then ends up in the airport.,She,gold,runs up the answer machine and stops at a intersection.,is sitting down playing on her ipad and then begins to board an airplane.,pulls up from a truck and drives off into the pool with a hand on her ear.,stops while the flowers are all on the spot.,1,1
1314,anetv_bi6C3kyP4mU,6222,"Several people begin rafting and they are shown in bars and on buses. As they continue rafting, a clear bucket with a black circle with several lines is shown on each raft and the people",Several people begin rafting and they are shown in bars and on buses.,"As they continue rafting, a clear bucket with a black circle with several lines is shown on each raft and the people",gold,continue to wave around the life guide as they go around the beach.,eventually get on top of ski ropes and ski to the end of the ropes.,line the structures beneath the water.,walk by putting out cigarettes on it.,3,2
1315,anetv_bi6C3kyP4mU,6223,"As they continue rafting, a clear bucket with a black circle with several lines is shown on each raft and the people walk by putting out cigarettes on it. More people","As they continue rafting, a clear bucket with a black circle with several lines is shown on each raft and the people walk by putting out cigarettes on it.",More people,gold,are shown playing around the cigarette while sitting on a board with a cigarette lighter into them.,are standing on a counter with two women sitting into the beach and then a mountain range appears.,are shown riding boards with surf equipment while another person swims their boards with both hands.,began kayaking and end up flipping the rafts over until a man comes and starts to talk.,3,2
1316,anetv_bi6C3kyP4mU,6221,Several men are pictured outside in their kayaking uniforms ready to start rafting. Several people begin rafting and they,Several men are pictured outside in their kayaking uniforms ready to start rafting.,Several people begin rafting and they,gen,"embrace, celebrate with memories and third adventure.",drink their beer below their decks as a tire crashing around them.,leap in the water quickly.,go down the river with arrows to go around it.,2,2
1317,anetv_bi6C3kyP4mU,6221,Several men are pictured outside in their kayaking uniforms ready to start rafting. Several people begin rafting and they,Several men are pictured outside in their kayaking uniforms ready to start rafting.,Several people begin rafting and they,gen,go down the river with arrows to go around it.,are lining the snowy paths.,drink their beer below their decks as a tire crashing around them.,pass them in the water before they start skiing and get to a river.,3,2
1318,anetv_AVIMCVsLrVw,17830,We see images of men doing back flips. We,We see images of men doing back flips.,We,gold,see students shining cement over each other.,see a red sumo riding a jet.,see bulls sitting on a field and see a close up scene.,see stills of men on jump stilts.,3,2
1319,anetv_AVIMCVsLrVw,17837,We see still images of the people. We then,We see still images of the people.,We then,gold,see the ending credits and credits.,see the closing title screen.,see clothes as people have needed and also sunscreen.,see the scene from between.,1,2
1320,anetv_AVIMCVsLrVw,17837,We see still images of the people. We then,We see still images of the people.,We then,gen,see the ending title screens and credits.,see the ending credits and credits.,see clothes as people have needed and also sunscreen.,see the scene from between.,0,2
1321,anetv_AVIMCVsLrVw,9686,A man is jumping and running on stilts. People,A man is jumping and running on stilts.,People,gen,are standing around the arena watching him.,are jumping a black rope in the center of the gym.,run on the stilts while the camera pans around the area.,"in under red stands, twirling the rope in the air.",0,2
1322,anetv_AVIMCVsLrVw,17828,We see a map on an opening screen. We then,We see a map on an opening screen.,We then,gold,see fish swim over.,see a large tractor.,see people playing volleyball on an ice stadium.,see some still images.,3,2
1323,anetv_AVIMCVsLrVw,9685,People are doing back flips on mats. A man,People are doing back flips on mats.,A man,gen,looks over and jumps on a beam onto a blue mat.,jumps to his knees.,flips and balances on a slack line.,does a flip on to another.,1,0
1324,anetv_AVIMCVsLrVw,17835,Men walk on a boardwalk another holds a fence and jumps. A person,Men walk on a boardwalk another holds a fence and jumps.,A person,gen,throws long walks on a ramp.,dressed in black walks into the principal and house.,is standing next to the car.,on the running begins to jump.,3,2
1325,anetv_AVIMCVsLrVw,17829,We then see some still images. We,We then see some still images.,We,gen,see a close up of screen and scenes of a man holding baseball in a machine.,see another man spinning in the background.,see a person standing at the window.,see a man preparing to perform a frisbee while jumping across the floor.,2,2
1326,anetv_AVIMCVsLrVw,17834,A man falls into cushions. Men,A man falls into cushions.,Men,gen,push a calf across a yard.,leads a couple to a metal stand holding a rooftop and a lacrosse yard.,are playing on a news card.,stand together in front of a camera watching.,3,0
